STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        408;19481201;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.7;    -999;    0.5;   89.00;    3.0;    0.3;-999;eor
        408;19481202;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.5;    -999;    2.4;   76.00;    5.9;   -2.1;-999;eor
        408;19481203;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.2;    -999;    4.6;   62.00;    7.9;    1.4;-999;eor
        408;19481204;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.9;    -999;    6.2;   73.00;    9.7;    2.2;-999;eor
        408;19481205;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   8.8;    -999;    6.5;   88.00;    9.5;    4.2;-999;eor
        408;19481206;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   7.2;    -999;    4.1;   87.00;    5.9;    3.3;-999;eor
        408;19481207;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.8;    -999;    4.6;   78.00;    9.4;    2.7;-999;eor
        408;19481208;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.5;    -999;    2.7;   73.00;    6.9;    0.8;-999;eor
        408;19481209;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.2;    -999;    1.3;   78.00;    2.6;   -1.7;-999;eor
        408;19481210;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.7;    -999;    3.2;   85.00;    6.0;    1.6;-999;eor
        408;19481211;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.9;    -999;    1.6;   85.00;    3.5;   -0.1;-999;eor
        408;19481212;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.6;    -999;    0.5;   88.00;    1.7;   -0.2;-999;eor
        408;19481213;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.7;    -999;    3.2;   86.00;    4.0;    0.5;-999;eor
        408;19481214;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   7.3;    -999;    6.0;   79.00;    7.9;    3.0;-999;eor
        408;19481215;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   8.1;    -999;    6.3;   84.00;    7.8;    4.7;-999;eor
