STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        422;19560101;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.0;    -999;    2.0;   92.00;    3.5;    0.9;    0.2;eor
        422;19560102;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.3;    -999;    1.7;   88.00;    3.5;    0.6;    0.7;eor
        422;19560103;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   4.5;    -999;   -0.7;   78.00;    0.9;   -2.4;   -3.8;eor
        422;19560104;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.1;    -999;    1.5;   92.00;    2.5;   -1.3;   -3.3;eor
        422;19560105;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   7.5;    -999;    3.4;   94.00;    4.9;    2.2;    0.8;eor
        422;19560106;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.1;    -999;    1.4;   89.00;    3.3;    0.5;    0.3;eor
        422;19560107;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   4.5;    -999;   -1.8;   82.00;    0.7;   -2.6;   -3.6;eor
        422;19560108;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   4.1;    -999;   -2.6;   82.00;   -2.0;   -4.1;   -5.2;eor
        422;19560109;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   4.3;    -999;   -1.2;   76.00;    0.3;   -3.1;   -3.0;eor
        422;19560110;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.1;    -999;   -0.7;   85.00;    0.7;   -1.4;   -3.3;eor
        422;19560111;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.3;    -999;    3.1;   84.00;    5.0;   -2.4;   -5.3;eor
        422;19560112;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   7.5;    -999;    6.7;   78.00;    7.9;    3.9;    1.2;eor
        422;19560113;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.3;    -999;    5.6;   68.00;    7.1;    4.1;    3.7;eor
        422;19560114;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.6;    -999;    2.3;   77.00;    4.5;    0.9;   -0.8;eor
        422;19560115;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   7.5;    -999;    5.8;   83.00;    7.2;    1.4;   -0.3;eor
        422;19560116;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.4;    -999;    4.2;   77.00;    6.5;    2.9;    1.2;eor
        422;19560117;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.9;    -999;    5.1;   80.00;    6.9;    2.9;    0.2;eor
        422;19560118;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.1;    -999;    4.0;   74.00;    5.4;    2.9;    2.0;eor
        422;19560119;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.1;    -999;    1.9;   73.00;    3.6;    0.9;   -0.8;eor
        422;19560120;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   7.3;    -999;    4.5;   87.00;    5.7;    0.9;   -0.3;eor
        422;19560121;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.0;    -999;    5.3;   65.00;    6.4;    2.9;    1.2;eor
        422;19560122;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.7;    -999;    4.6;   73.00;    8.4;    1.9;    1.2;eor
        422;19560123;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.9;    -999;    3.9;   87.00;    5.6;    1.9;   -0.3;eor
        422;19560124;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   6.5;    -999;    2.2;   88.00;    7.2;    0.4;    3.9;eor
        422;19560125;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.2;    -999;    0.3;   82.00;    1.0;   -0.6;   -1.8;eor
        422;19560126;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   5.3;    -999;   -0.2;   89.00;    1.0;   -0.6;   -2.0;eor
        422;19560127;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   4.4;    -999;   -1.4;   78.00;    0.0;   -2.4;   -1.8;eor
        422;19560128;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   4.0;    -999;   -3.3;   84.00;   -2.0;   -5.0;   -7.1;eor
        422;19560129;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   3.5;    -999;   -3.7;   74.00;   -1.5;   -4.6;   -8.2;eor
        422;19560130;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   2.1;    -999;  -10.1;   69.00;   -4.2;  -11.6;   -9.7;eor
        422;19560131;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   1.1;    -999;  -15.9;   57.00;  -11.7;  -17.2;  -16.0;eor
        422;19560201;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   0.9;    -999;  -17.0;   59.00;  -15.2;  -21.3;  -21.3;eor
        422;19560202;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   2.5;    -999;   -8.6;   80.00;   -5.1;  -17.5;  -19.5;eor
        422;19560203;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   3.7;    -999;   -3.8;   80.00;   -3.0;   -5.5;   -8.0;eor
        422;19560204;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   3.3;    -999;   -5.3;   75.00;   -1.4;   -8.2;   -8.8;eor
        422;19560205;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   3.5;    -999;   -4.1;   78.00;   -1.8;   -8.4;  -10.0;eor
        422;19560206;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   4.3;    -999;   -1.9;   81.00;   -0.3;   -4.9;   -5.9;eor
        422;19560207;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   2.9;    -999;   -6.3;   75.00;   -1.5;   -8.3;   -6.8;eor
        422;19560208;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   2.9;    -999;   -8.7;   78.00;   -3.6;  -12.5;  -11.6;eor
        422;19560209;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   1.2;    -999;  -15.5;   66.00;  -12.5;  -21.7;  -23.6;eor
        422;19560210;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   1.5;    -999;  -12.3;   56.00;   -8.6;  -14.6;  -14.6;eor
        422;19560211;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   1.2;    -999;  -16.8;   76.00;  -13.1;  -20.6;  -21.6;eor
        422;19560212;-999;-999;-999;    5;  -999;-999;-999;-999;  -999;   2.0;    -999;  -10.4;   70.00;   -7.2;  -16.1;  -17.2;eor
